inventario_id,fecha_snapshot,producto_id,sucursal_id,stock_actual,stock_en_transito
900001,2025-07-03,1001,1,314,0
900002,2025-07-04,1001,1,259,465
900003,2025-07-05,1001,1,188,465
900004,2025-07-06,1001,1,175,465
900005,2025-07-07,1001,1,563,0
900006,2025-07-08,1001,1,522,0
900007,2025-07-09,1001,1,512,0
900008,2025-07-10,1001,1,466,0
900009,2025-07-11,1001,1,369,0
900010,2025-07-12,1001,1,314,591
900011,2025-07-13,1001,1,291,591
900012,2025-07-14,1001,1,211,591
900013,2025-07-15,1001,1,182,591
900014,2025-07-16,1001,1,143,591
900015,2025-07-17,1001,1,691,0
900016,2025-07-18,1001,1,681,0
900017,2025-07-19,1001,1,639,0
900018,2025-07-20,1001,1,617,0
900019,2025-07-21,1001,1,573,0
900020,2025-07-22,1001,1,510,0
900021,2025-07-23,1001,1,495,0
900022,2025-07-24,1001,1,455,0
900023,2025-07-25,1001,1,396,0
900024,2025-07-26,1001,1,357,0
900025,2025-07-27,1001,1,336,0
900026,2025-07-28,1001,1,270,508
900027,2025-07-29,1001,1,213,508
900028,2025-07-30,1001,1,184,508
900029,2025-07-31,1001,1,653,0
900030,2025-08-01,1001,1,614,0
900031,2025-08-02,1001,1,553,0
900032,2025-08-03,1001,1,526,0
900033,2025-08-04,1001,1,501,0
900034,2025-08-05,1001,1,460,0
900035,2025-08-06,1001,1,438,0
900036,2025-08-07,1001,1,374,0
900037,2025-08-08,1001,1,334,0
900038,2025-08-09,1001,1,296,467
900039,2025-08-10,1001,1,285,467
900040,2025-08-11,1001,1,252,467
900041,2025-08-12,1001,1,227,467
900042,2025-08-13,1001,1,673,0
900043,2025-08-14,1001,1,642,0
900044,2025-08-15,1001,1,537,0
900045,2025-08-16,1001,1,473,0
900046,2025-08-17,1001,1,437,0
900047,2025-08-18,1001,1,425,0
900048,2025-08-19,1001,1,371,0
900049,2025-08-20,1001,1,294,462
900050,2025-08-21,1001,1,261,462
900051,2025-08-22,1001,1,227,462
900052,2025-08-23,1001,1,588,0
900053,2025-08-24,1001,1,570,0
900054,2025-08-25,1001,1,519,0
900055,2025-08-26,1001,1,470,0
900056,2025-08-27,1001,1,419,0
900057,2025-08-28,1001,1,384,0
900058,2025-08-29,1001,1,359,0
900059,2025-08-30,1001,1,271,485
900060,2025-08-31,1001,1,268,485
