movimiento_id,fecha,producto_id,sucursal_id,tipo_movimiento,cantidad,stock_resultante
700001,2025-07-03,1001,1,Salida por Venta,-43,314
700002,2025-07-04,1001,1,Salida por Venta,-55,259
700003,2025-07-05,1001,1,Salida por Venta,-71,188
700004,2025-07-06,1001,1,Salida por Venta,-13,175
700005,2025-07-07,1001,1,Entrada por Compra,465,640
700006,2025-07-07,1001,1,Salida por Venta,-77,563
700007,2025-07-08,1001,1,Salida por Venta,-41,522
700008,2025-07-09,1001,1,Salida por Venta,-10,512
700009,2025-07-10,1001,1,Salida por Venta,-46,466
700010,2025-07-11,1001,1,Salida por Venta,-97,369
700011,2025-07-12,1001,1,Salida por Venta,-55,314
700012,2025-07-13,1001,1,Salida por Venta,-23,291
700013,2025-07-14,1001,1,Salida por Venta,-80,211
700014,2025-07-15,1001,1,Salida por Venta,-29,182
700015,2025-07-16,1001,1,Salida por Venta,-39,143
700016,2025-07-17,1001,1,Entrada por Compra,591,734
700017,2025-07-17,1001,1,Salida por Venta,-43,691
700018,2025-07-18,1001,1,Salida por Venta,-10,681
700019,2025-07-19,1001,1,Salida por Venta,-42,639
700020,2025-07-20,1001,1,Salida por Venta,-22,617
700021,2025-07-21,1001,1,Salida por Venta,-44,573
700022,2025-07-22,1001,1,Salida por Venta,-63,510
700023,2025-07-23,1001,1,Salida por Venta,-15,495
700024,2025-07-24,1001,1,Salida por Venta,-40,455
700025,2025-07-25,1001,1,Salida por Venta,-59,396
700026,2025-07-26,1001,1,Salida por Venta,-39,357
700027,2025-07-27,1001,1,Salida por Venta,-21,336
700028,2025-07-28,1001,1,Salida por Venta,-66,270
700029,2025-07-29,1001,1,Salida por Venta,-57,213
700030,2025-07-30,1001,1,Salida por Venta,-29,184
700031,2025-07-31,1001,1,Entrada por Compra,508,692
700032,2025-07-31,1001,1,Salida por Venta,-39,653
700033,2025-08-01,1001,1,Salida por Venta,-39,614
700034,2025-08-02,1001,1,Salida por Venta,-61,553
700035,2025-08-03,1001,1,Salida por Venta,-27,526
700036,2025-08-04,1001,1,Salida por Venta,-25,501
700037,2025-08-05,1001,1,Salida por Venta,-41,460
