venta_id,fecha,producto_id,sucursal_id,unidades_vendidas,importe_total
500001,2025-07-03,1001,1,43,26854.79
500002,2025-07-04,1001,1,55,34349.15
500003,2025-07-05,1001,1,71,44341.63
500004,2025-07-06,1001,1,13,8118.89
500005,2025-07-07,1001,1,77,48088.81
500006,2025-07-08,1001,1,41,25605.73
500007,2025-07-09,1001,1,10,6245.3
500008,2025-07-10,1001,1,46,28728.38
500009,2025-07-11,1001,1,97,60579.41
500010,2025-07-12,1001,1,55,34349.15
500011,2025-07-13,1001,1,23,14364.19
500012,2025-07-14,1001,1,80,49962.4
500013,2025-07-15,1001,1,29,18111.37
500014,2025-07-16,1001,1,39,24356.67
500015,2025-07-17,1001,1,43,26854.79
500016,2025-07-18,1001,1,10,6245.3
500017,2025-07-19,1001,1,42,26230.26
500018,2025-07-20,1001,1,22,13739.66
500019,2025-07-21,1001,1,44,27479.32
500020,2025-07-22,1001,1,63,39345.39
500021,2025-07-23,1001,1,15,9367.95
500022,2025-07-24,1001,1,40,24981.2
500023,2025-07-25,1001,1,59,36847.27
500024,2025-07-26,1001,1,39,24356.67
500025,2025-07-27,1001,1,21,13115.13
500026,2025-07-28,1001,1,66,41218.98
500027,2025-07-29,1001,1,57,35598.21
500028,2025-07-30,1001,1,29,18111.37
500029,2025-07-31,1001,1,39,24356.67
500030,2025-08-01,1001,1,39,24356.67
500031,2025-08-02,1001,1,61,38096.33
500032,2025-08-03,1001,1,27,16862.31
500033,2025-08-04,1001,1,25,15613.25
500034,2025-08-05,1001,1,41,25605.73
500035,2025-08-06,1001,1,22,13739.66
500036,2025-08-07,1001,1,64,39969.92
500037,2025-08-08,1001,1,40,24981.2
500038,2025-08-09,1001,1,38,23732.14
500039,2025-08-10,1001,1,11,6869.83
500040,2025-08-11,1001,1,33,20609.49
500041,2025-08-12,1001,1,25,15613.25
500042,2025-08-13,1001,1,21,13115.13
500043,2025-08-14,1001,1,31,19360.43
500044,2025-08-15,1001,1,105,65575.65
500045,2025-08-16,1001,1,64,39969.92
500046,2025-08-17,1001,1,36,22483.08
500047,2025-08-18,1001,1,12,7494.36
500048,2025-08-19,1001,1,54,33724.62
500049,2025-08-20,1001,1,77,48088.81
500050,2025-08-21,1001,1,33,20609.49
500051,2025-08-22,1001,1,34,21234.02
500052,2025-08-23,1001,1,101,63077.53
500053,2025-08-24,1001,1,18,11241.54
500054,2025-08-25,1001,1,51,31851.03
500055,2025-08-26,1001,1,49,30601.97
500056,2025-08-27,1001,1,51,31851.03
500057,2025-08-28,1001,1,35,21858.55
500058,2025-08-29,1001,1,25,15613.25
500059,2025-08-30,1001,1,88,54958.64
500060,2025-08-31,1001,1,3,1873.59
500061,2025-09-01,1001,1,26,16237.78
500062,2025-09-02,1001,1,7,4371.71
500063,2025-09-03,1001,1,8,4996.24
500064,2025-09-04,1001,1,18,11241.54
500065,2025-09-05,1001,1,98,61203.94
500066,2025-09-06,1001,1,84,52460.52
500067,2025-09-07,1001,1,31,19360.43
500068,2025-09-08,1001,1,53,33100.09
500069,2025-09-09,1001,1,21,13115.13
500070,2025-09-10,1001,1,74,46215.22
500071,2025-09-11,1001,1,39,24356.67
500072,2025-09-12,1001,1,9,5620.77
500073,2025-09-13,1001,1,14,8743.42
500074,2025-09-14,1001,1,21,13115.13
500075,2025-09-15,1001,1,50,31226.5
500076,2025-09-16,1001,1,35,21858.55
500077,2025-09-17,1001,1,95,59330.35
500078,2025-09-18,1001,1,26,16237.78
500079,2025-09-19,1001,1,55,34349.15
500080,2025-09-20,1001,1,98,61203.94
500081,2025-09-21,1001,1,12,7494.36
500082,2025-09-22,1001,1,31,19360.43
500083,2025-09-23,1001,1,26,16237.78
500084,2025-09-24,1001,1,13,8118.89
500085,2025-09-25,1001,1,100,62453.0
500086,2025-09-26,1001,1,47,29352.91
500087,2025-09-27,1001,1,11,6869.83
500088,2025-09-28,1001,1,37,23107.61
500089,2025-09-29,1001,1,40,24981.2
500090,2025-09-30,1001,1,39,24356.67
500091,2025-10-01,1001,1,23,14364.19
500092,2025-10-02,1001,1,53,33100.09
500093,2025-10-03,1001,1,87,54334.11
500094,2025-10-04,1001,1,13,8118.89
500095,2025-10-05,1001,1,4,2498.12
500096,2025-10-06,1001,1,57,35598.21
500097,2025-10-07,1001,1,33,20609.49
500098,2025-10-08,1001,1,20,12490.6
500099,2025-10-09,1001,1,21,13115.13
500100,2025-10-10,1001,1,10,6245.3
500101,2025-10-11,1001,1,47,29352.91
500102,2025-10-12,1001,1,108,67449.24
500103,2025-10-13,1001,1,38,23732.14
500104,2025-10-14,1001,1,33,20609.49
500105,2025-10-15,1001,1,73,45590.69
500106,2025-10-16,1001,1,9,5620.77
500107,2025-10-17,1001,1,50,31226.5
500108,2025-10-18,1001,1,62,38720.86
500109,2025-10-19,1001,1,18,11241.54
500110,2025-10-20,1001,1,42,26230.26
500111,2025-10-21,1001,1,26,16237.78
500112,2025-10-22,1001,1,53,33100.09
500113,2025-10-23,1001,1,55,34349.15
500114,2025-10-24,1001,1,51,31851.03
500115,2025-10-25,1001,1,45,28103.85
500116,2025-10-26,1001,1,19,11866.07
500117,2025-10-27,1001,1,37,23107.61
500118,2025-10-28,1001,1,27,16862.31
500119,2025-10-29,1001,1,51,31851.03
500120,2025-10-30,1001,1,7,4371.71
500121,2025-10-31,1001,1,46,28728.38
500122,2025-11-01,1001,1,62,38720.86
500123,2025-11-02,1001,1,29,18111.37
500124,2025-11-03,1001,1,31,19360.43
500125,2025-11-04,1001,1,42,26230.26
500126,2025-11-05,1001,1,30,18735.9
500127,2025-11-06,1001,1,32,19984.96
500128,2025-11-07,1001,1,66,41218.98
500129,2025-11-08,1001,1,13,8118.89
500130,2025-11-09,1001,1,29,18111.37
500131,2025-11-10,1001,1,9,5620.77
500132,2025-11-11,1001,1,39,24356.67
500133,2025-11-12,1001,1,65,40594.45
500134,2025-11-13,1001,1,37,23107.61
500135,2025-11-14,1001,1,30,18735.9
500136,2025-11-15,1001,1,30,18735.9
500137,2025-11-16,1001,1,34,21234.02
500138,2025-11-17,1001,1,31,19360.43
500139,2025-11-18,1001,1,50,31226.5
500140,2025-11-19,1001,1,35,21858.55
500141,2025-11-20,1001,1,10,6245.3
500142,2025-11-21,1001,1,35,21858.55
500143,2025-11-22,1001,1,111,69322.83
500144,2025-11-23,1001,1,46,28728.38
500145,2025-11-24,1001,1,49,30601.97
500146,2025-11-25,1001,1,55,34349.15
500147,2025-11-26,1001,1,16,9992.48
500148,2025-11-27,1001,1,47,29352.91
500149,2025-11-28,1001,1,58,36222.74
500150,2025-11-29,1001,1,41,25605.73
500151,2025-11-30,1001,1,28,17486.84
500152,2025-12-01,1001,1,58,36222.74
500153,2025-12-02,1001,1,28,17486.84
500154,2025-12-03,1001,1,66,41218.98
500155,2025-12-04,1001,1,108,67449.24
500156,2025-12-05,1001,1,73,45590.69
500157,2025-12-06,1001,1,113,70571.89
500158,2025-12-07,1001,1,60,37471.8
500159,2025-12-08,1001,1,88,54958.64
500160,2025-12-09,1001,1,56,34973.68
500161,2025-12-10,1001,1,32,19984.96
500162,2025-12-11,1001,1,86,53709.58
500163,2025-12-12,1001,1,83,51835.99
500164,2025-12-13,1001,1,38,23732.14
500165,2025-12-14,1001,1,41,25605.73
500166,2025-12-15,1001,1,33,20609.49
500167,2025-12-16,1001,1,109,68073.77
500168,2025-12-17,1001,1,34,21234.02
500169,2025-12-18,1001,1,40,24981.2
500170,2025-12-19,1001,1,54,33724.62
500171,2025-12-20,1001,1,25,15613.25
500172,2025-12-21,1001,1,51,31851.03
500173,2025-12-22,1001,1,69,43092.57
500174,2025-12-23,1001,1,65,40594.45
500175,2025-12-24,1001,1,75,46839.75
500176,2025-12-25,1001,1,81,50586.93
500177,2025-12-26,1001,1,111,69322.83
500178,2025-12-27,1001,1,81,50586.93
500179,2025-12-28,1001,1,22,13739.66
500180,2025-12-29,1001,1,78,48713.34
500181,2025-12-30,1001,1,35,21858.55
500182,2025-12-31,1001,1,19,11866.07
500183,2026-01-01,1001,1,9,5620.77
500184,2026-01-02,1001,1,55,34349.15
500185,2026-01-03,1001,1,72,44966.16
500186,2026-01-04,1001,1,14,8743.42
500187,2026-01-05,1001,1,60,37471.8
500188,2026-01-06,1001,1,10,6245.3
500189,2026-01-07,1001,1,17,10617.01
500190,2026-01-08,1001,1,9,5620.77
500191,2026-01-09,1001,1,77,48088.81
500192,2026-01-10,1001,1,43,26854.79
500193,2026-01-11,1001,1,25,15613.25
500194,2026-01-12,1001,1,63,39345.39
500195,2026-01-13,1001,1,35,21858.55
500196,2026-01-14,1001,1,92,57456.76
500197,2026-01-15,1001,1,26,16237.78
500198,2026-01-16,1001,1,17,10617.01
500199,2026-01-17,1001,1,11,6869.83
500200,2026-01-18,1001,1,27,16862.31
500201,2026-01-19,1001,1,21,13115.13
500202,2026-01-20,1001,1,36,22483.08
500203,2026-01-21,1001,1,40,24981.2
500204,2026-01-22,1001,1,39,24356.67
500205,2026-01-23,1001,1,53,33100.09
500206,2026-01-24,1001,1,44,27479.32
